timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,nbpackets,txpower,txifdur,txpksize,txfillbyte
2017-01-18_16.18.08,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.08,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
2017-01-18_16.18.08,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,5,10,0,100,100,0x0a
2017-01-18_16.18.08,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,6,10,0,100,100,0x0a
2017-01-18_16.18.08,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,7,10,0,100,100,0x0a
2017-01-18_16.18.08,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,8,10,0,100,100,0x0a
2017-01-18_16.18.08,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,9,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.09,05-43-32-ff-03-dd-a4-84,12,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.10,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.10,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.10,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
2017-01-18_16.18.10,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.10,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
2017-01-18_16.18.10,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,5,10,0,100,100,0x0a
2017-01-18_16.18.11,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,6,10,0,100,100,0x0a
2017-01-18_16.18.11,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,7,10,0,100,100,0x0a
2017-01-18_16.18.11,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,8,10,0,100,100,0x0a
2017-01-18_16.18.11,05-43-32-ff-03-dd-a6-85,12,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,9,10,0,100,100,0x0a
2017-01-18_16.18.11,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.11,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.11,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.11,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.12,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.12,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.12,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.12,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.12,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.12,05-43-32-ff-03-dd-a4-84,13,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,5,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,6,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,7,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,8,10,0,100,100,0x0a
2017-01-18_16.18.13,05-43-32-ff-03-dd-a6-85,13,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,9,10,0,100,100,0x0a
2017-01-18_16.18.14,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.14,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.14,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.14,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.14,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.14,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.14,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.15,05-43-32-ff-03-dd-a4-84,14,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.15,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.15,05-43-32-ff-03-dd-a4-84,14,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.15,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.15,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.15,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
2017-01-18_16.18.15,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.15,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
2017-01-18_16.18.16,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,5,10,0,100,100,0x0a
2017-01-18_16.18.16,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,6,10,0,100,100,0x0a
2017-01-18_16.18.16,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,7,10,0,100,100,0x0a
2017-01-18_16.18.16,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,8,10,0,100,100,0x0a
2017-01-18_16.18.16,05-43-32-ff-03-dd-a6-85,14,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,9,10,0,100,100,0x0a
2017-01-18_16.18.16,05-43-32-ff-03-dd-a4-84,15,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-34,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.17,05-43-32-ff-03-dd-a4-84,15,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,5,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,6,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,7,10,0,100,100,0x0a
2017-01-18_16.18.18,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,8,10,0,100,100,0x0a
2017-01-18_16.18.19,05-43-32-ff-03-dd-a6-85,15,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,9,10,0,100,100,0x0a
2017-01-18_16.18.19,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.19,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.19,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.19,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.19,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.20,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.20,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.20,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.20,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.20,05-43-32-ff-03-dd-a4-84,16,100,-35,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.20,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.20,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.21,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
2017-01-18_16.18.21,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.21,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
2017-01-18_16.18.21,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,5,10,0,100,100,0x0a
2017-01-18_16.18.21,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,6,10,0,100,100,0x0a
2017-01-18_16.18.21,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,7,10,0,100,100,0x0a
2017-01-18_16.18.21,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,8,10,0,100,100,0x0a
2017-01-18_16.18.21,05-43-32-ff-03-dd-a6-85,16,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,9,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.22,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.23,05-43-32-ff-03-dd-a4-84,17,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.23,05-43-32-ff-03-dd-a6-85,17,100,-38,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.23,05-43-32-ff-03-dd-a6-85,17,100,-38,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.23,05-43-32-ff-03-dd-a6-85,17,100,-38,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
2017-01-18_16.18.23,05-43-32-ff-03-dd-a6-85,17,100,-39,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.23,05-43-32-ff-03-dd-a6-85,17,100,-38,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
2017-01-18_16.18.23,05-43-32-ff-03-dd-a6-85,17,100,-38,1,1,05-43-32-ff-03-dd-a4-84,0,5,10,0,100,100,0x0a
2017-01-18_16.18.24,05-43-32-ff-03-dd-a6-85,17,100,-38,1,1,05-43-32-ff-03-dd-a4-84,0,6,10,0,100,100,0x0a
2017-01-18_16.18.24,05-43-32-ff-03-dd-a6-85,17,100,-39,1,1,05-43-32-ff-03-dd-a4-84,0,7,10,0,100,100,0x0a
2017-01-18_16.18.24,05-43-32-ff-03-dd-a6-85,17,100,-39,1,1,05-43-32-ff-03-dd-a4-84,0,8,10,0,100,100,0x0a
2017-01-18_16.18.24,05-43-32-ff-03-dd-a6-85,17,100,-38,1,1,05-43-32-ff-03-dd-a4-84,0,9,10,0,100,100,0x0a
2017-01-18_16.18.24,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.24,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.24,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.24,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.25,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.25,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.25,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.25,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.25,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.25,05-43-32-ff-03-dd-a4-84,18,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.25,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,5,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,6,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,7,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,8,10,0,100,100,0x0a
2017-01-18_16.18.26,05-43-32-ff-03-dd-a6-85,18,100,-40,1,1,05-43-32-ff-03-dd-a4-84,0,9,10,0,100,100,0x0a
2017-01-18_16.18.27,05-43-32-ff-03-dd-a4-84,19,100,-40,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.27,05-43-32-ff-03-dd-a4-84,19,100,-40,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.27,05-43-32-ff-03-dd-a4-84,19,100,-40,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.27,05-43-32-ff-03-dd-a4-84,19,100,-40,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.27,05-43-32-ff-03-dd-a4-84,19,100,-40,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.27,05-43-32-ff-03-dd-a4-84,19,100,-40,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.27,05-43-32-ff-03-dd-a4-84,19,100,-40,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.27,05-43-32-ff-03-dd-a4-84,19,100,-39,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.28,05-43-32-ff-03-dd-a4-84,19,100,-39,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.28,05-43-32-ff-03-dd-a4-84,19,100,-40,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.28,05-43-32-ff-03-dd-a6-85,19,100,-42,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.28,05-43-32-ff-03-dd-a6-85,19,100,-43,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.28,05-43-32-ff-03-dd-a6-85,19,100,-43,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
2017-01-18_16.18.28,05-43-32-ff-03-dd-a6-85,19,100,-42,1,1,05-43-32-ff-03-dd-a4-84,0,3,10,0,100,100,0x0a
2017-01-18_16.18.28,05-43-32-ff-03-dd-a6-85,19,100,-42,1,1,05-43-32-ff-03-dd-a4-84,0,4,10,0,100,100,0x0a
